,0_1,0_2,0_3,0_4,0_5,0_6,3m_max_1,3m_max_2,3m_max_3,3m_max_4,3m_max_5,3m_max_6,4m_least_1,4m_least_2,4m_least_3,4m_least_4,4m_least_5,4m_least_6,8_1,8_2,8_3,8_4,8_5,8_6,D_1,D_2,D_3,D_4,D_5,D_6,QM_1,QM_2,QM_3,QM_4,QM_5,QM_6,X_1,X_2,X_3,X_4,X_5,X_6,AccountType02,AccountType28,AccountType60,AccountType30,AccountType03,AccountType61,AccountType16,AccountType31,AccountType25,AccountType35,AccountType33,AccountType26,CurrentBalance_count,CurrentBalance_mean,CurrentBalance_std,CurrentBalance_min,CurrentBalance_25%,CurrentBalance_50%,CurrentBalance_75%,CurrentBalance_max,IsSettled_count,IsSettled_mean,TotalCurrentBalance,TotalArrears,TotalAccountsNumber,dti_max,inc_max
2faad6d6-a599-43ee-9948-b0b8ced22103,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,304969.0,45101.44832855518,265910.0,265910.0,304969.0,344028.0,344028.0,4.0,1.0,0,4702.0,0,0.4570711597060405,5579.0
f76ad305-5b2c-4148-8c01-01fd8623115e,60,58,59,71,77,78,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,27,19,12,12,0,0,0,0,0,0,0,2,0,0,1,0,2.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4954.0,13031.862338131108,0.0,0.0,0.0,0.0,37052.0,15.0,2.0,0,1441.0,12,0.3663704716336295,2926.0
761adee5-dcff-4cf8-aba5-ea08e915f454,39,46,66,64,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,38,18,18,18,18,0,0,0,0,0,0,0,0,0,2,0,0,4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,37574.857142857145,94663.01483428721,0.0,0.0,0.0,456.75,261008.0,14.0,2.0,0,4521.0,8,0.4524001072673639,3729.0
265fe3eb-aa3d-42cc-8d79-75a63e205883,2,2,17,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,262537.6666666667,227235.25099846045,149.0,196940.5,393732.0,393732.0,393732.0,3.0,2.0,0,3887.0,0,0.4187983343248067,5043.0
a38af5b7-bf0e-49ba-bdb3-c241271776ca,39,44,32,29,33,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,16,18,14,7,0,0,0,0,0,0,1,0,0,1,1,1,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,177.75,295.29488893066105,0.0,0.0,0.0,246.75,675.0,8.0,1.0,1,723.0,5,0.36411809235427706,2642.0
c01ad42f-4d2e-45da-9860-d95aa748f9d7,94,84,84,81,72,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,56,53,61,68,51,0,0,0,0,0,0,4,4,7,2,4,4,16.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22139.25,58868.2354934195,0.0,0.0,0.0,310.75,193863.0,24.0,1.0,1,2975.0,15,0.554557463672391,3785.0
94e4281a-9c32-4efb-95d1-636abf39c757,10,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,72496.66666666667,62783.955023025854,0.0,54372.5,108745.0,108745.0,108745.0,3.0,1.0,0,2004.0,1,0.39637883008356545,3590.0
4e16aa6a-c40c-4c8f-b9ae-ddab46bd740c,5,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,406597.0,0.0,406597.0,406597.0,406597.0,406597.0,406597.0,1.0,1.0,0,1602.0,0,0.37044534412955465,4446.0
3c7fec69-5011-43b7-9580-096de67d0735,28,32,42,35,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,12,19,24,19,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26138.222222222223,49467.45483087284,0.0,0.0,0.0,4290.0,113332.0,9.0,1.0,0,3860.0,5,0.5063465783664459,3624.0
b4c471d5-124e-47ae-89b0-29cb5214eba0,18,23,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,12,12,12,12,0,0,0,0,0,0,4,0,0,0,0,0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,149402.0,231452.5831560322,0.0,0.0,0.0,336154.5,448206.0,6.0,1.0,1,4946.0,4,0.3963011889035667,4542.0
